emotional category,start_time,end_time
resting,2110,4090
pride,4323,6441
sad,7164,9014
neutral,10074,11841
happy,12627,14315
fear,15078,17248
happy,17947,20681
neutral,21440,23073
pride,23792,26677
sad,27456,29276
fear,29974,31825
neutral,32726,34644
sad,35666,38200
pride,39060,41639
happy,42365,44207
fear,44983,47275
