emotional category,start_time,end_time
resting,1194,3173
happy,3416,5873
pride,6586,9239
sad,9948,11930
neutral,12665,14077
fear,14791,16851
sad,17642,19736
pride,20521,22694
neutral,23399,25714
sad,26520,29175
fear,29876,31783
pride,32484,35081
neutral,35863,38000
happy,38760,40818
fear,41518,44074
happy,45001,47335
