emotional category,start_time,end_time
resting,608,2588
happy,2818,5275
pride,6014,8671
sad,9399,11382
neutral,12247,13660
fear,14388,16449
sad,17207,19301
pride,20059,22232
neutral,23024,25338
sad,26134,28789
fear,29705,31612
pride,32425,35021
neutral,35880,38017
happy,38856,40918
fear,41643,44199
happy,44953,47289
