id,emo,name,onTime,endTime
1,Happy,1_22,1683701491.9720001,1683701551.9720001
2,Neutral,10,1683701657.341,1683701717.341
3,rest,rest,1683701829.902,1683702009.902
4,Sad,1_13,1683702034.211,1683702274.579
5,Fear,1_15,1683702382.035,1683702678.437
6,Proud,proud_09,1683702766.78,1683702962.156
7,Neutral,1,1683703036.29,1683703261.682
8,Happy,4,1683703344.689,1683703521.07
9,Fear,3_30,1683703591.376,1683703772.733
10,Happy,1,1683703917.761,1683704204.163
11,Proud,proud_14,1683704367.739,1683704561.142
12,Sad,3,1683704640.252,1683704793.649
13,Neutral,2,1683704906.459,1683705074.855
14,Fear,1_11,1683705151.01,1683705219.38
15,Sad,8,1683705506.0410001,1683705828.348
16,Proud,proud_35,1683706135.754,1683706372.064
17,Neutral,3,1683706439.348,1683706596.755
18,Happy,1_3,1683706663.846,1683706902.189
