emotional category,start_time,end_time
resting,826,2805
pride,3027,5146
sad,5844,7695
neutral,8401,10187
happy,10887,12575
fear,13272,15442
happy,16146,18879
neutral,19589,21222
pride,21923,24807
sad,25518,27338
fear,28036,29888
neutral,30586,32504
sad,33195,35729
pride,36432,39007
happy,39708,41550
fear,42243,44534
