id,emo,name,onTime,endTime
1,Happy,1_22,1684391978.7819998,1684391979.399
2,Neutral,10,1684391984.221,1684391984.967
3,rest,rest,1684392002.6729999,1684392182.6729999
4,Proud,proud_32,1684392204.697,1684392397.254
5,Sad,7,1684392460.96,1684392629.199
6,Neutral,4,1684392693.5479999,1684392855.941
7,Happy,1_20,1684392920.965,1684393074.366
8,Fear,3_31,1684393138.421,1684393335.787
9,Happy,3,1684393438.4959998,1684393686.8899999
10,Neutral,5,1684393758.24,1684393906.631
11,Proud,proud_37,1684393971.442,1684394233.638
12,Sad,5,1684394317.6139998,1684394483.014
13,Fear,2_1,1684394559.9459999,1684394728.245
14,Neutral,6,1684394797.089,1684394971.497
15,Sad,3_4,1684395036.485,1684395266.87
16,Proud,proud_34,1684395336.309,1684395570.5979998
17,Happy,2,1684395645.2419999,1684395812.641
18,Fear,3_50,1684395877.113,1684396036.925
