emotional category,start_time,end_time
resting,1284,3263
happy,3522,5980
pride,6736,9391
sad,10125,12108
neutral,12891,14303
fear,15101,17163
sad,18956,21050
pride,21789,23962
neutral,24681,26995
sad,30895,33550
fear,34265,36170
pride,36881,39477
neutral,40197,42335
happy,43256,45316
fear,46025,48580
happy,49972,52309
