id,emo,name,onTime,endTime
1,Happy,1_22,1686294092.767,1686294093.216
2,Neutral,10,1686294097.138,1686294097.92
3,rest,rest,1686294103.778,1686294283.778
4,Sad,1_13,1686294304.535,1686294544.9060001
5,Fear,1_15,1686294610.782,1686294907.184
6,Proud,proud_09,1686294986.585,1686295181.96
7,Neutral,1,1686295244.733,1686295470.132
8,Happy,4,1686295533.563,1686295709.9390001
9,Fear,3_30,1686295773.4420002,1686295954.809
10,Happy,1,1686296097.2410002,1686296383.64
11,Proud,proud_14,1686296446.7,1686296640.099
12,Sad,3,1686296704.114,1686296857.5140002
13,Neutral,2,1686296973.957,1686297142.355
14,Fear,1_11,1686297205.094,1686297273.471
15,Sad,8,1686297336.312,1686297658.6200001
16,Proud,proud_35,1686297725.828,1686297962.1360002
17,Neutral,3,1686298026.336,1686298183.749
18,Happy,1_3,1686298253.7020001,1686298492.0600002
