id,emo,name,onTime,endTime
1,Happy,1_22,1685272170.335,1685272170.612
2,Neutral,10,1685272174.0219998,1685272174.452
3,rest,rest,1685272185.684,1685272365.684
4,Happy,3_5,1685272386.4069998,1685272609.817
5,Proud,proud_31,1685272674.102,1685272915.6169999
6,Sad,4,1685272979.415,1685273159.812
7,Neutral,7,1685273223.5149999,1685273351.901
8,Fear,3_32,1685273415.579,1685273602.951
9,Sad,2_22,1685273666.6369998,1685273857.001
10,Proud,proud_33,1685273920.8309999,1685274118.399
11,Neutral,8,1685274184.7849998,1685274395.182
12,Sad,1_14,1685274459.633,1685274700.994
13,Fear,3_21,1685274764.8799999,1685274938.246
14,Proud,proud_36,1685275002.006,1685275238.103
15,Neutral,9,1685275320.733,1685275515.118
16,Happy,3_7,1685275592.695,1685275780.102
17,Fear,3_13,1685275843.753,1685276076.148
18,Happy,5,1685276139.707,1685276352.097
