id,emo,name,onTime,endTime
1,Happy,1_22,1686034023.233,1686034023.927
2,Neutral,10,1686034032.176,1686034033.079
3,rest,rest,1686034042.103,1686034222.103
4,Sad,1_13,1686034243.242,1686034483.617
5,Fear,1_15,1686034548.088,1686034844.492
6,Proud,proud_09,1686034909.242,1686035104.623
7,Neutral,1,1686035169.726,1686035395.119
8,Happy,4,1686035459.19,1686035635.569
9,Fear,3_30,1686035699.403,1686035880.774
10,Happy,1,1686035944.554,1686036230.967
11,Proud,proud_14,1686036294.78,1686036488.179
12,Sad,3,1686036551.827,1686036705.231
13,Neutral,2,1686036768.833,1686036937.241
14,Fear,1_11,1686037001.555,1686037069.936
15,Sad,8,1686037133.44,1686037455.749
16,Proud,proud_35,1686037519.353,1686037755.655
17,Neutral,3,1686037819.544,1686037976.945
18,Happy,1_3,1686038040.638,1686038278.991
