emotional category,start_time,end_time
resting,3103,5082
pride,5330,7448
sad,8155,10006
neutral,10710,12496
happy,13203,14889
fear,15600,17771
happy,18495,21227
neutral,22028,23660
pride,24376,27260
sad,28006,29825
fear,30548,32399
neutral,33128,35047
sad,35845,38378
pride,39110,41687
happy,42398,44239
fear,44950,46707
