id,emo,name,onTime,endTime
1,Happy,1_22,1685263130.322,1685263130.8839998
2,Neutral,10,1685263134.393,1685263134.916
3,rest,rest,1685263150.526,1685263330.526
4,Happy,3_5,1685263353.434,1685263576.829
5,Proud,proud_31,1685263640.996,1685263882.506
6,Sad,4,1685263959.172,1685264139.574
7,Neutral,7,1685264217.671,1685264346.066
8,Fear,3_32,1685264418.11,1685264605.48
9,Sad,2_22,1685264672.52,1685264862.8939998
10,Proud,proud_33,1685264934.689,1685265132.25
11,Neutral,8,1685265199.3279998,1685265409.712
12,Sad,1_14,1685265475.0939999,1685265716.449
13,Fear,3_21,1685265780.457,1685265953.83
14,Proud,proud_36,1685266036.8869998,1685266272.984
15,Neutral,9,1685266337.0279999,1685266531.422
16,Happy,3_7,1685266599.08,1685266786.4859998
17,Fear,3_13,1685266862.467,1685267094.87
18,Happy,5,1685267159.5049999,1685267371.906
