emotional category,start_time,end_time
resting,735,2716
happy,2957,5413
pride,6117,8774
sad,9473,11457
neutral,12162,13574
fear,14266,16325
sad,17024,19118
pride,19819,21992
neutral,22691,25006
sad,25708,28363
fear,29100,31007
pride,31742,34338
neutral,35038,37176
happy,37871,39932
fear,40646,43202
happy,43906,46243
