id,emo,name,onTime,endTime
1,Happy,1_22,1683686881.8270001,1683686941.8270001
2,Neutral,10,1683687119.821,1683687179.821
3,rest,rest,1683687263.352,1683687443.352
4,Sad,1_13,1683687465.4420002,1683687705.805
5,Fear,1_15,1683687793.479,1683688089.878
6,Proud,proud_09,1683688166.4950001,1683688361.874
7,Neutral,1,1683689342.802,1683689568.186
8,Happy,4,1683689638.5560002,1683689814.9350002
9,Fear,3_30,1683689878.936,1683690060.298
10,Happy,1,1683690126.506,1683690412.9090002
11,Proud,proud_14,1683690482.9720001,1683690676.3690002
12,Sad,3,1683690740.286,1683690893.694
13,Neutral,2,1683690962.7310002,1683691131.131
14,Fear,1_11,1683691197.756,1683691266.128
15,Sad,8,1683691337.683,1683691659.9880002
16,Proud,proud_35,1683691726.515,1683691962.825
17,Neutral,3,1683692029.1750002,1683692186.5770001
18,Happy,1_3,1683692250.936,1683692489.2930002
