emotional category,start_time,end_time
resting,4679,6656
sad,6899,9542
fear,10506,13767
pride,14609,16758
neutral,23831,26310
happy,27085,29025
fear,29729,31724
happy,32452,35602
pride,36373,38500
sad,39204,40891
neutral,41651,43503
fear,44236,44988
sad,45775,49321
pride,50052,52652
neutral,53382,55113
happy,55821,58443
