emotional category,start_time,end_time
resting,690,2670
pride,2982,5100
sad,5829,7681
neutral,8530,10316
happy,11122,12809
fear,13679,15850
happy,16619,19352
neutral,20207,21840
pride,22574,25457
sad,26216,28035
fear,28806,30658
neutral,31450,33368
sad,34905,37438
pride,38669,41245
happy,42085,43927
fear,44717,46475
