emotional category,start_time,end_time
resting,645,2625
pride,2885,5003
sad,5709,7560
neutral,8264,10050
happy,10762,12450
fear,13157,15328
happy,16027,18760
neutral,19483,21116
pride,21820,24704
sad,25409,27229
fear,27928,29780
neutral,30482,32401
sad,33151,35684
pride,36390,38967
happy,39684,41526
fear,42579,44337
