emotional category,start_time,end_time
resting,523,2503
sad,2736,5380
fear,6089,9349
pride,10062,12211
neutral,12927,15406
happy,16111,18052
fear,18754,20749
happy,21450,24601
pride,25303,27430
sad,28130,29817
neutral,30517,32370
fear,33077,33829
sad,34528,38073
pride,38773,41372
neutral,42075,43806
happy,44507,47129
