emotional category,start_time,end_time
resting,492,2472
pride,2715,4833
sad,5775,7625
neutral,8700,10486
happy,11198,12885
fear,13700,15871
happy,16634,19367
neutral,20174,21806
pride,22511,25396
sad,26934,28754
fear,29663,31515
neutral,32979,34896
sad,35683,38218
pride,38945,41522
happy,42281,44123
fear,44991,46749
