id,emo,name,onTime,endTime
1,Happy,1_22,1685969414.865,1685969416.935
2,Neutral,10,1685969421.972,1685969422.6299999
3,rest,rest,1685969430.948,1685969610.948
4,Sad,1_13,1685969665.339,1685969905.704
5,Fear,1_15,1685969968.9659998,1685970265.3709998
6,Proud,proud_09,1685970338.0939999,1685970533.477
7,Neutral,1,1685970601.3799999,1685970826.7889998
8,Happy,4,1685970907.293,1685971083.662
9,Fear,3_30,1685971169.2429998,1685971350.609
10,Happy,1,1685971438.5519998,1685971724.952
11,Proud,proud_14,1685971801.7889998,1685971995.1859999
12,Sad,3,1685972069.9629998,1685972223.3709998
13,Neutral,2,1685972291.8569999,1685972460.2549999
14,Fear,1_11,1685972522.942,1685972591.3179998
15,Sad,8,1685972656.162,1685972978.4689999
16,Proud,proud_35,1685973043.8579998,1685973280.1869998
17,Neutral,3,1685973346.5,1685973503.8999999
18,Happy,1_3,1685973568.8939998,1685973807.263
