id,emo,name,onTime,endTime
1,Happy,1_22,1685085729.89,1685085730.542
2,Neutral,10,1685085736.1130002,1685085737.1980002
3,rest,rest,1685085743.821,1685085923.821
4,Happy,3_5,1685085945.828,1685086169.23
5,Proud,proud_31,1685086233.273,1685086474.7870002
6,Sad,4,1685086538.3360002,1685086718.732
7,Neutral,7,1685086782.7870002,1685086911.174
8,Fear,3_32,1685086974.0,1685087161.358
9,Sad,2_22,1685087224.874,1685087415.246
10,Proud,proud_33,1685087478.951,1685087676.5140002
11,Neutral,8,1685087740.186,1685087950.5800002
12,Sad,1_14,1685088014.5670002,1685088255.9250002
13,Fear,3_21,1685088322.8500001,1685088496.2250001
14,Proud,proud_36,1685088563.0800002,1685088799.1790001
15,Neutral,9,1685088862.8040001,1685089057.209
16,Happy,3_7,1685089120.4520001,1685089307.8470001
17,Fear,3_13,1685089372.66,1685089605.065
18,Happy,5,1685089669.181,1685089881.5800002
