id,emo,name,onTime,endTime
1,Happy,1_22,1684673196.841,1684673256.841
2,Neutral,10,1684673322.67,1684673382.67
3,rest,rest,1684673421.956,1684673601.956
4,Proud,proud_32,1684673624.38,1684673816.9420002
5,Sad,7,1684673881.944,1684674050.184
6,Neutral,4,1684674115.7840002,1684674278.178
7,Happy,1_20,1684674343.167,1684674496.575
8,Fear,3_31,1684674565.112,1684674762.477
9,Happy,3,1684674833.487,1684675081.888
10,Neutral,5,1684675146.925,1684675295.322
11,Proud,proud_37,1684675359.5600002,1684675621.7640002
12,Sad,5,1684675687.496,1684675852.9
13,Fear,2_1,1684675920.9520001,1684676089.253
14,Neutral,6,1684676153.407,1684676327.816
15,Sad,3_4,1684676393.3530002,1684676623.7450001
16,Proud,proud_34,1684676688.506,1684676922.798
17,Happy,2,1684676989.198,1684677156.602
18,Fear,3_50,1684677220.585,1684677380.404
