emotional category,start_time,end_time
resting,779,2757
pride,3002,5120
sad,5884,7735
neutral,8497,10284
happy,11122,12810
fear,13586,15757
happy,16512,19244
neutral,19971,21603
pride,22383,25266
sad,25547,27366
fear,28115,29966
neutral,30830,32749
sad,33458,35991
pride,36720,39296
happy,40043,41884
fear,42653,44411
