emotional category,start_time,end_time
resting,6563,8543
sad,8781,11426
fear,12173,15433
pride,16393,18542
neutral,19446,21925
happy,24050,25990
fear,26874,28870
happy,29999,33149
pride,34032,36149
sad,37000,38687
neutral,39485,41337
fear,42158,42911
sad,43947,47492
pride,48243,50843
neutral,51563,53293
happy,53996,56618
