emotional category,start_time,end_time
resting,1634,3615
happy,3853,6311
pride,7017,9674
sad,10409,12394
neutral,13139,14551
fear,15277,17338
sad,18040,20134
pride,20838,23012
neutral,23744,26058
sad,26771,29427
fear,30132,32039
pride,32766,35364
neutral,36078,38217
happy,38923,40984
fear,41710,44266
happy,44974,47311
