id,emo,name,onTime,endTime
1,Happy,1_22,1684841174.529,1684841175.204
2,Neutral,10,1684841179.734,1684841180.5149999
3,rest,rest,1684841197.319,1684841377.319
4,Proud,proud_32,1684841399.359,1684841591.928
5,Sad,7,1684841655.872,1684841824.118
6,Neutral,4,1684841939.246,1684842101.6499999
7,Happy,1_20,1684842202.283,1684842355.689
8,Fear,3_31,1684842465.086,1684842662.458
9,Happy,3,1684842730.9589999,1684842979.362
10,Neutral,5,1684843062.4989998,1684843210.8999999
11,Proud,proud_37,1684843304.013,1684843566.226
12,Sad,5,1684843645.83,1684843811.231
13,Fear,2_1,1684843917.759,1684844086.063
14,Neutral,6,1684844159.207,1684844333.619
15,Sad,3_4,1684844396.784,1684844627.1729999
16,Proud,proud_34,1684844707.102,1684844941.396
17,Happy,2,1684845010.1299999,1684845177.536
18,Fear,3_50,1684845240.332,1684845400.142
