id,emo,name,onTime,endTime
1,Happy,1_22,1685342797.325,1685342797.601
2,Neutral,10,1685342801.4290001,1685342801.917
3,rest,rest,1685342819.448,1685342999.448
4,Happy,3_5,1685343020.754,1685343244.163
5,Proud,proud_31,1685343314.322,1685343555.834
6,Sad,4,1685343640.673,1685343821.073
7,Neutral,7,1685343897.787,1685344026.172
8,Fear,3_32,1685344089.868,1685344277.234
9,Sad,2_22,1685344348.566,1685344538.938
10,Proud,proud_33,1685344601.676,1685344799.25
11,Neutral,8,1685344863.194,1685345073.58
12,Sad,1_14,1685345145.467,1685345386.818
13,Fear,3_21,1685345481.562,1685345654.936
14,Proud,proud_36,1685345734.538,1685345970.649
15,Neutral,9,1685346042.137,1685346236.527
16,Happy,3_7,1685346310.312,1685346497.713
17,Fear,3_13,1685346561.953,1685346794.353
18,Happy,5,1685346859.441,1685347071.839
