emotional category,start_time,end_time
resting,4271,6249
happy,6486,8943
pride,9641,12297
sad,13381,15366
neutral,16214,17626
fear,18649,20710
sad,21540,23634
pride,24445,26618
neutral,27774,30088
sad,30800,33455
fear,34312,36220
pride,37077,39674
neutral,40723,42862
happy,44791,46853
fear,47950,50506
happy,51366,53703
