emotional category,start_time,end_time
resting,574,2554
pride,2803,4921
sad,5647,7497
neutral,8201,9988
happy,10776,12463
fear,13166,15336
happy,16040,18771
neutral,19574,21207
pride,21909,24793
sad,25498,27318
fear,28022,29874
neutral,30699,32618
sad,33325,35859
pride,36642,39219
happy,40103,41945
fear,42657,44415
