id,emo,name,onTime,endTime
1,Happy,1_22,1685367084.083,1685367087.346
2,Neutral,10,1685367094.227,1685367096.931
3,rest,rest,1685367114.331,1685367294.331
4,Happy,3_5,1685367313.785,1685367537.183
5,Proud,proud_31,1685367617.53,1685367859.037
6,Sad,4,1685367925.629,1685368106.023
7,Neutral,7,1685368174.902,1685368303.298
8,Fear,3_32,1685368372.0210001,1685368559.3960001
9,Sad,2_22,1685368623.479,1685368813.844
10,Proud,proud_33,1685368882.461,1685369080.036
11,Neutral,8,1685369144.012,1685369354.408
12,Sad,1_14,1685369433.126,1685369674.476
13,Fear,3_21,1685369739.774,1685369913.153
14,Proud,proud_36,1685369977.284,1685370213.386
15,Neutral,9,1685370276.624,1685370471.01
16,Happy,3_7,1685370535.34,1685370722.738
17,Fear,3_13,1685370786.063,1685371018.457
18,Happy,5,1685371083.869,1685371296.275
