emotional category,start_time,end_time
resting,824,2803
pride,3037,5155
sad,5928,7778
neutral,8522,10308
happy,11024,12711
fear,13431,15602
happy,16322,19055
neutral,19772,21404
pride,22102,24986
sad,25729,27548
fear,28262,30113
neutral,30838,32756
sad,33494,36027
pride,36798,39375
happy,40116,41957
fear,42701,44458
