id,emo,name,onTime,endTime
1,Happy,1_22,1684485705.584,1684485706.385
2,Neutral,10,1684485710.773,1684485711.953
3,rest,rest,1684485744.357,1684485924.357
4,Proud,proud_32,1684485952.671,1684486145.239
5,Sad,7,1684486211.5700002,1684486379.802
6,Neutral,4,1684486457.039,1684486619.424
7,Happy,1_20,1684486692.68,1684486846.0860002
8,Fear,3_31,1684486925.1690001,1684487122.5240002
9,Happy,3,1684487192.476,1684487440.868
10,Neutral,5,1684487518.594,1684487666.9910002
11,Proud,proud_37,1684487733.782,1684487995.9810002
12,Sad,5,1684488064.9710002,1684488230.381
13,Fear,2_1,1684488300.43,1684488468.73
14,Neutral,6,1684488540.7930002,1684488715.1990001
15,Sad,3_4,1684488854.798,1684489085.18
16,Proud,proud_34,1684489197.049,1684489431.332
17,Happy,2,1684489507.752,1684489675.151
18,Fear,3_50,1684489746.964,1684489906.7810001
