emotional category,start_time,end_time
resting,2408,4387
happy,4606,7063
pride,7787,10445
sad,11180,13164
neutral,13865,15277
fear,15993,18053
sad,18851,20945
pride,21673,23844
neutral,24629,26944
sad,27642,30297
fear,31029,32936
pride,33684,36282
neutral,36986,39125
happy,39971,42032
fear,42778,45334
happy,46034,48370
