id,emo,name,onTime,endTime
1,Happy,1_22,1684413921.4989998,1684413923.0479999
2,Neutral,10,1684413928.9069998,1684413929.32
3,rest,rest,1684413946.892,1684414126.892
4,Proud,proud_32,1684414148.4819999,1684414341.0509999
5,Sad,7,1684414424.148,1684414592.379
6,Neutral,4,1684414656.6699998,1684414819.056
7,Happy,1_20,1684414882.885,1684415036.2879999
8,Fear,3_31,1684415099.958,1684415297.322
9,Happy,3,1684415360.858,1684415609.256
10,Neutral,5,1684415673.813,1684415822.21
11,Proud,proud_37,1684415886.481,1684416148.678
12,Sad,5,1684416214.901,1684416380.306
13,Fear,2_1,1684416465.958,1684416634.258
14,Neutral,6,1684416701.833,1684416876.247
15,Sad,3_4,1684416945.9169998,1684417176.309
16,Proud,proud_34,1684417239.3509998,1684417473.639
17,Happy,2,1684417536.439,1684417703.84
18,Fear,3_50,1684417767.109,1684417926.927
