id,emo,name,onTime,endTime
1,Happy,1_22,1685064338.223,1685064343.786
2,Neutral,10,1685064348.55,1685064351.161
3,rest,rest,1685064363.966,1685064543.966
4,Happy,3_5,1685064564.188,1685064787.59
5,Proud,proud_31,1685064857.406,1685065098.916
6,Sad,4,1685065182.54,1685065362.94
7,Neutral,7,1685065445.359,1685065573.756
8,Fear,3_32,1685065671.458,1685065858.822
9,Sad,2_22,1685065932.142,1685066122.52
10,Proud,proud_33,1685066191.091,1685066388.636
11,Neutral,8,1685066469.994,1685066680.386
12,Sad,1_14,1685066751.967,1685066993.3339999
13,Fear,3_21,1685067075.149,1685067248.524
14,Proud,proud_36,1685067320.517,1685067556.632
15,Neutral,9,1685067622.3769999,1685067816.766
16,Happy,3_7,1685067896.9589999,1685068084.3639998
17,Fear,3_13,1685068161.881,1685068394.28
18,Happy,5,1685068461.689,1685068674.0809999
