id,emo,name,onTime,endTime
1,Happy,1_22,1685934260.744,1685934261.3339999
2,Neutral,10,1685934265.949,1685934267.078
3,rest,rest,1685934293.611,1685934473.611
4,Sad,1_13,1685934495.718,1685934736.091
5,Fear,1_15,1685934811.743,1685935108.137
6,Proud,proud_09,1685935186.411,1685935381.7879999
7,Neutral,1,1685935446.8109999,1685935672.199
8,Happy,4,1685935737.126,1685935913.507
9,Fear,3_30,1685935988.317,1685936169.688
10,Happy,1,1685936242.378,1685936528.791
11,Proud,proud_14,1685936593.055,1685936786.458
12,Sad,3,1685936887.69,1685937041.099
13,Neutral,2,1685937119.0939999,1685937287.4919999
14,Fear,1_11,1685937363.578,1685937431.94
15,Sad,8,1685937497.666,1685937819.98
16,Proud,proud_35,1685937885.514,1685938121.821
17,Neutral,3,1685938188.691,1685938346.0939999
18,Happy,1_3,1685938410.352,1685938648.699
