emotional category,start_time,end_time
resting,811,2791
sad,3389,6033
fear,6729,9973
pride,10772,12922
neutral,13669,16147
happy,17033,18973
fear,19914,21909
happy,22876,26027
pride,26872,29000
sad,29822,31509
neutral,32263,34115
fear,34805,35557
sad,36270,39814
pride,40533,43132
neutral,43862,45594
happy,46308,48931
