id,emo,name,onTime,endTime
1,Happy,1_22,1685105886.694,1685105890.227
2,Neutral,10,1685105896.0530002,1685105896.9950001
3,rest,rest,1685105911.936,1685106091.936
4,Happy,3_5,1685106113.6100001,1685106337.022
5,Proud,proud_31,1685106402.239,1685106643.7480001
6,Sad,4,1685106709.505,1685106889.907
7,Neutral,7,1685106968.5870001,1685107096.983
8,Fear,3_32,1685107162.4190001,1685107349.793
9,Sad,2_22,1685107414.127,1685107604.493
10,Proud,proud_33,1685107669.806,1685107867.3760002
11,Neutral,8,1685107935.779,1685108146.164
12,Sad,1_14,1685108210.0270002,1685108451.3790002
13,Fear,3_21,1685108516.5410001,1685108689.9150002
14,Proud,proud_36,1685108757.4550002,1685108993.5540001
15,Neutral,9,1685109067.924,1685109262.3170002
16,Happy,3_7,1685109329.292,1685109516.6990001
17,Fear,3_13,1685109583.569,1685109815.973
18,Happy,5,1685109880.641,1685110093.0440001
