emotional category,start_time,end_time
resting,12147,14127
pride,14351,16468
sad,17223,19073
neutral,19828,21614
happy,22605,24292
fear,25015,27186
happy,27967,30698
neutral,31450,33083
pride,33789,36673
sad,37448,39267
fear,39999,41850
neutral,42674,44593
sad,45354,47888
pride,48650,51227
happy,51946,53787
fear,54575,56333
