id,emo,name,onTime,endTime
1,Happy,1_22,1685091408.922,1685091411.3240001
2,Neutral,10,1685091415.946,1685091416.556
3,rest,rest,1685091436.734,1685091616.734
4,Happy,3_5,1685091638.757,1685091862.164
5,Proud,proud_31,1685091927.103,1685092168.6130002
6,Sad,4,1685092233.05,1685092413.453
7,Neutral,7,1685092480.254,1685092608.648
8,Fear,3_32,1685092673.552,1685092860.922
9,Sad,2_22,1685092932.902,1685093123.273
10,Proud,proud_33,1685093194.687,1685093392.246
11,Neutral,8,1685093456.305,1685093666.706
12,Sad,1_14,1685093739.996,1685093981.353
13,Fear,3_21,1685094045.126,1685094218.493
14,Proud,proud_36,1685094282.336,1685094518.432
15,Neutral,9,1685094589.568,1685094783.955
16,Happy,3_7,1685094852.9880002,1685095040.382
17,Fear,3_13,1685095103.996,1685095336.394
18,Happy,5,1685095420.637,1685095633.027
