Session: indicating the number of the experiment,,,,,,,,,,,,
Emotion: indicating the emotion of the viewed stimulus material  0: Fear 1: Sad 2: Neutral 3:Happy 4: Pride,,,,,,,,,,,,
Score: indicating the self-rating records for the stimulus material (The rating scale ranges from 0 to 9),,,,,,,,,,,,
,,,,,,,,,,,,
Subject,Age,Gender,Handedness,Date,Session,Trial,Emotion,Score,,,,
103,22,female,right,5-18-2023,2,7,2,9,,,,
103,22,female,right,5-18-2023,2,8,4,9,,,,
103,22,female,right,5-18-2023,2,9,1,7,,,,
103,22,female,right,5-18-2023,2,10,0,7,,,,
103,22,female,right,5-18-2023,2,11,2,9,,,,
103,22,female,right,5-18-2023,2,12,1,2,,,,
103,22,female,right,5-18-2023,2,13,4,4,,,,
103,22,female,right,5-18-2023,2,14,3,6,,,,
103,22,female,right,5-18-2023,2,15,0,8,,,,
103,22,female,right,6-01-2023,3,1,3,5,,,,
103,22,female,right,6-01-2023,3,2,4,5,,,,
103,22,female,right,6-01-2023,3,3,1,8,,,,
103,22,female,right,6-01-2023,3,4,2,8,,,,
103,22,female,right,6-01-2023,3,5,0,6,,,,
103,22,female,right,6-01-2023,3,6,1,4,,,,
103,22,female,right,6-01-2023,3,7,4,7,,,,
103,22,female,right,6-01-2023,3,8,2,8,,,,
103,22,female,right,6-01-2023,3,9,1,6,,,,
103,22,female,right,6-01-2023,3,10,0,8,,,,
103,22,female,right,6-01-2023,3,11,4,6,,,,
103,22,female,right,6-01-2023,3,12,2,8,,,,
103,22,female,right,6-01-2023,3,13,3,7,,,,
103,22,female,right,6-01-2023,3,14,0,7,,,,
103,22,female,right,6-01-2023,3,15,3,8,,,,
104,22,male,right,5-13-2023,1,1,1,7,,,,
104,22,male,right,5-13-2023,1,2,0,8,,,,
104,22,male,right,5-13-2023,1,3,4,7,,,,
104,22,male,right,5-13-2023,1,4,2,6,,,,
104,22,male,right,5-13-2023,1,5,3,8,,,,
104,22,male,right,5-13-2023,1,6,0,6,,,,
104,22,male,right,5-13-2023,1,7,3,3,,,,
104,22,male,right,5-13-2023,1,8,4,8,,,,
104,22,male,right,5-13-2023,1,9,1,7,,,,
104,22,male,right,5-13-2023,1,10,2,9,,,,
104,22,male,right,5-13-2023,1,11,0,6,,,,
104,22,male,right,5-13-2023,1,12,1,7,,,,
104,22,male,right,5-13-2023,1,13,4,6,,,,
104,22,male,right,5-13-2023,1,14,2,9,,,,
104,22,male,right,5-13-2023,1,15,3,3,,,,
104,22,male,right,5-20-2023,2,1,4,8,,,,
104,22,male,right,5-20-2023,2,2,1,8,,,,
104,22,male,right,5-20-2023,2,3,2,9,,,,
104,22,male,right,5-20-2023,2,4,3,1,,,,
104,22,male,right,5-20-2023,2,5,0,7,,,,
104,22,male,right,5-20-2023,2,6,3,5,,,,
104,22,male,right,5-20-2023,2,7,2,9,,,,
104,22,male,right,5-20-2023,2,8,4,8,,,,
104,22,male,right,5-20-2023,2,9,1,6,,,,
104,22,male,right,5-20-2023,2,10,0,7,,,,
104,22,male,right,5-20-2023,2,11,2,9,,,,
104,22,male,right,5-20-2023,2,12,1,3,,,,
104,22,male,right,5-20-2023,2,13,4,7,,,,
