emotional category,start_time,end_time
resting,2187,4167
happy,4401,6859
pride,7629,10286
sad,11219,13204
neutral,14047,15460
fear,16161,18221
sad,19006,21101
pride,21790,23963
neutral,24667,26982
sad,27772,30427
fear,31469,33377
pride,34252,36849
neutral,37635,39774
happy,40586,42647
fear,43353,45910
happy,46626,48962
