emotional category,start_time,end_time
resting,5181,7161
sad,7395,10039
fear,10741,14001
pride,15873,18022
neutral,18793,21272
happy,22345,24285
fear,25120,27115
happy,28673,31824
pride,32903,35030
sad,35722,37409
neutral,38646,40499
fear,41224,41977
sad,42715,46261
pride,47274,49873
neutral,50625,52356
happy,53279,55900
