emotional category,start_time,end_time
resting,630,2609
pride,2824,4943
sad,5662,7512
neutral,8207,9993
happy,10690,12378
fear,13069,15240
happy,15936,18669
neutral,19360,20992
pride,21683,24567
sad,25271,27090
fear,27783,29635
neutral,30356,32274
sad,32985,35519
pride,36235,38813
happy,39511,41353
fear,42051,44343
