emotional category,start_time,end_time
resting,1483,3463
sad,3691,6333
fear,7058,10317
pride,11191,13339
neutral,14030,16509
happy,17208,19147
fear,19845,21841
happy,23405,26555
pride,27249,29377
sad,30081,31768
neutral,33049,34902
fear,35591,36344
sad,37034,40579
pride,41319,43918
neutral,44624,46356
happy,47126,49747
