id,emo,name,onTime,endTime
1,Happy,1_22,1685171825.3860002,1685171825.861
2,Neutral,10,1685171829.6230001,1685171829.969
3,rest,rest,1685171845.74,1685172025.74
4,Happy,3_5,1685172047.5470002,1685172270.9510002
5,Proud,proud_31,1685172335.1920002,1685172576.703
6,Sad,4,1685172643.525,1685172823.9280002
7,Neutral,7,1685172891.713,1685173020.111
8,Fear,3_32,1685173086.1460001,1685173273.51
9,Sad,2_22,1685173337.3370001,1685173527.713
10,Proud,proud_33,1685173591.6980002,1685173789.2610002
11,Neutral,8,1685173855.936,1685174066.3300002
12,Sad,1_14,1685174131.2010002,1685174372.566
13,Fear,3_21,1685174436.681,1685174610.0600002
14,Proud,proud_36,1685174676.194,1685174912.296
15,Neutral,9,1685174977.286,1685175171.677
16,Happy,3_7,1685175235.868,1685175423.276
17,Fear,3_13,1685175489.2110002,1685175721.6130002
18,Happy,5,1685175786.016,1685175998.4090002
