id,emo,name,onTime,endTime
1,Happy,1_22,1685436017.816,1685436018.9620001
2,Neutral,10,1685436023.6890001,1685436023.9060001
3,rest,rest,1685436046.88,1685436226.88
4,Happy,3_5,1685436250.4220002,1685436473.8230002
5,Proud,proud_31,1685436542.538,1685436784.04
6,Sad,4,1685436850.704,1685437031.098
7,Neutral,7,1685437102.295,1685437230.69
8,Fear,3_32,1685437303.2350001,1685437490.604
9,Sad,2_22,1685437653.628,1685437843.996
10,Proud,proud_33,1685437911.1920002,1685438108.763
11,Neutral,8,1685438174.111,1685438384.4980001
12,Sad,1_14,1685438739.091,1685438980.4550002
13,Fear,3_21,1685439045.4220002,1685439218.789
14,Proud,proud_36,1685439283.3660002,1685439519.464
15,Neutral,9,1685439584.9090002,1685439779.296
16,Happy,3_7,1685439863.227,1685440050.627
17,Fear,3_13,1685440115.002,1685440347.403
18,Happy,5,1685440473.97,1685440686.374
