emotional category,start_time,end_time
resting,2413,4393
pride,4626,6744
sad,7449,9299
neutral,10031,11817
happy,12525,14212
fear,14916,17087
happy,17830,20562
neutral,21281,22913
pride,23618,26502
sad,27208,29027
fear,29732,31583
neutral,32297,34216
sad,34942,37475
pride,38176,40753
happy,41465,43306
fear,44014,45772
