id,emo,name,onTime,endTime
1,Happy,1_22,1685450513.437,1685450518.888
2,Neutral,10,1685450523.413,1685450523.64
3,rest,rest,1685450536.41,1685450716.41
4,Happy,3_5,1685450736.415,1685450959.818
5,Proud,proud_31,1685451023.3930001,1685451264.898
6,Sad,4,1685451341.169,1685451521.573
7,Neutral,7,1685451584.685,1685451713.075
8,Fear,3_32,1685451777.1660001,1685451964.525
9,Sad,2_22,1685452027.389,1685452217.754
10,Proud,proud_33,1685452286.021,1685452483.591
11,Neutral,8,1685452546.422,1685452756.807
12,Sad,1_14,1685452821.954,1685453063.318
13,Fear,3_21,1685453127.901,1685453301.279
14,Proud,proud_36,1685453365.662,1685453601.761
15,Neutral,9,1685453665.603,1685453859.989
16,Happy,3_7,1685453923.568,1685454110.971
17,Fear,3_13,1685454174.708,1685454407.105
18,Happy,5,1685454472.614,1685454685.005
