id,emo,name,onTime,endTime
1,Happy,1_22,1683681353.907,1683681413.907
2,Neutral,10,1683681552.6950002,1683681612.6950002
3,rest,rest,1683681660.0210001,1683681840.0210001
4,Sad,1_13,1683681864.5310001,1683682104.898
5,Fear,1_15,1683682189.615,1683682486.022
6,Proud,proud_09,1683682549.334,1683682744.719
7,Neutral,1,1683682808.734,1683683034.125
8,Happy,4,1683683106.723,1683683283.102
9,Fear,3_30,1683683358.2640002,1683683539.6330001
10,Happy,1,1683683615.244,1683683901.6560001
11,Proud,proud_14,1683683991.063,1683684184.464
12,Sad,3,1683684248.4780002,1683684401.875
13,Neutral,2,1683684468.186,1683684636.595
14,Fear,1_11,1683684714.122,1683684782.506
15,Sad,8,1683684845.29,1683685167.6100001
16,Proud,proud_35,1683685232.254,1683685468.556
17,Neutral,3,1683685532.395,1683685689.8100002
18,Happy,1_3,1683685752.538,1683685990.8960001
