id,emo,name,onTime,endTime
1,Happy,1_22,1683717475.687,1683717535.687
2,Neutral,10,1683717624.156,1683717684.156
3,rest,rest,1683717736.171,1683717916.171
4,Sad,1_13,1683717939.279,1683718179.649
5,Fear,1_15,1683718248.797,1683718545.187
6,Proud,proud_09,1683718614.2389998,1683718809.6169999
7,Neutral,1,1683718883.615,1683719109.011
8,Happy,4,1683719178.1669998,1683719354.5349998
9,Fear,3_30,1683719420.95,1683719602.3079998
10,Happy,1,1683719665.6339998,1683719952.0379999
11,Proud,proud_14,1683720026.037,1683720219.4259999
12,Sad,3,1683720287.2389998,1683720440.652
13,Neutral,2,1683720506.6139998,1683720675.007
14,Fear,1_11,1683720738.885,1683720807.253
15,Sad,8,1683720871.421,1683721193.734
16,Proud,proud_35,1683721257.468,1683721493.7819998
17,Neutral,3,1683721560.5119998,1683721717.9199998
18,Happy,1_3,1683721781.372,1683722019.723
