emotional category,start_time,end_time
resting,497,2477
pride,2714,4833
sad,5747,7597
neutral,8305,10091
happy,10793,12480
fear,13181,15352
happy,16051,18780
neutral,19490,21123
pride,21829,24714
sad,25442,27262
fear,28204,30055
neutral,30799,32717
sad,33483,36018
pride,36711,39288
happy,39979,41820
fear,42516,44274
