id,emo,name,onTime,endTime
1,Happy,1_22,1685185229.33,1685185229.758
2,Neutral,10,1685185233.668,1685185234.27
3,rest,rest,1685185243.978,1685185423.978
4,Happy,3_5,1685185444.8339999,1685185668.2419999
5,Proud,proud_31,1685185735.382,1685185976.8969998
6,Sad,4,1685186043.0149999,1685186223.406
7,Neutral,7,1685186302.064,1685186430.457
8,Fear,3_32,1685186496.6299999,1685186683.996
9,Sad,2_22,1685186752.876,1685186943.251
10,Proud,proud_33,1685187012.175,1685187209.74
11,Neutral,8,1685187281.735,1685187492.125
12,Sad,1_14,1685187564.4589999,1685187805.82
13,Fear,3_21,1685187889.075,1685188062.4429998
14,Proud,proud_36,1685188136.362,1685188372.462
15,Neutral,9,1685188450.5509999,1685188644.941
16,Happy,3_7,1685188721.2289999,1685188908.6339998
17,Fear,3_13,1685188974.5549998,1685189206.9529998
18,Happy,5,1685189275.464,1685189487.8669999
